Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"REQUEST_NAME = ""Trình ký PDF có sẵn""",,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
"COMMENT = ""Không có bình luận""",,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.000s,PASSED
auto5 = DataTest.getUserTest5(),,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
auto6 = DataTest.getUserTest6(),,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
"document = DataTest.createDocumentTest(auto5, auto6, null, ""dummy.pdf"", ""dummy.pdf"")",,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
loginScreen.login(auto5),,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.002s,ERROR
Start listener action : afterTest,,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.006s,ERROR
,,,,,,,
Test Cases/IPAPER APP/016 DUYET CO CC_KHONG NHAP Y KIEN,,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.086s,ERROR
Start listener action : beforeTest,,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.010s,ERROR
"REQUEST_NAME = ""Trình ký PDF có sẵn""",,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.000s,PASSED
"COMMENT = ""Không có bình luận""",,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
auto5 = DataTest.getUserTest5(),,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.002s,PASSED
auto6 = DataTest.getUserTest6(),,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
auto7 = DataTest.getUserTest7(),,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
"document = DataTest.createDocumentTest(auto5, auto6, null, ""dummy.pdf"", ""dummy.pdf"")",,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.002s,PASSED
loginScreen.login(auto5),,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,ERROR
Start listener action : afterTest,,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.005s,ERROR
,,,,,,,
Test Cases/IPAPER APP/017 DUYET CO CC_NHAP Y KIEN,,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.091s,ERROR
Start listener action : beforeTest,,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.020s,ERROR
"REQUEST_NAME = ""Trình ký PDF có sẵn""",,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.000s,PASSED
"COMMENT = ""Commented by automation team in case 17""",,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.002s,PASSED
auto5 = DataTest.getUserTest5(),,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
auto6 = DataTest.getUserTest6(),,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
auto7 = DataTest.getUserTest7(),,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
"document = DataTest.createDocumentTest(auto5, auto6, null, ""dummy.pdf"", ""dummy.pdf"")",,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
loginScreen.login(auto5),,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.002s,ERROR
Start listener action : afterTest,,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.005s,ERROR
,,,,,,,
Test Cases/IPAPER APP/018 TU CHOI NHANH,,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.073s,ERROR
Start listener action : beforeTest,,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.010s,ERROR
"REQUEST_NAME = ""Trình ký PDF có sẵn""",,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
"COMMENT = ""Commented by automation team in case 18""",,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.000s,PASSED
auto5 = DataTest.getUserTest5(),,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
auto6 = DataTest.getUserTest6(),,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
"document = DataTest.createDocumentTest(auto5, auto6, null, ""dummy.pdf"", ""dummy.pdf"")",,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.002s,PASSED
loginScreen.login(auto5),,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.003s,ERROR
Start listener action : afterTest,,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.004s,ERROR
,,,,,,,
Test Cases/IPAPER APP/019 TU CHOI CHI TIET_NHAP Y KIEN,,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.066s,ERROR
Start listener action : beforeTest,,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.007s,ERROR
"REQUEST_NAME = ""Trình ký PDF có sẵn""",,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.000s,PASSED
"COMMENT = ""Commented by automaton test in case 19""",,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.000s,PASSED
auto5 = DataTest.getUserTest5(),,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
auto6 = DataTest.getUserTest6(),,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.002s,PASSED
"document = DataTest.createDocumentTest(auto5, auto6, null, ""dummy.pdf"", ""dummy.pdf"")",,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.000s,PASSED
loginScreen.login(auto5),,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.002s,ERROR
Start listener action : afterTest,,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.004s,ERROR
,,,,,,,
Test Cases/IPAPER APP/021 TU CHOI TẠI MAIN FILE_NHAP Y KIEN,,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.069s,ERROR
Start listener action : beforeTest,,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.007s,ERROR
"REQUEST_NAME = ""Trình ký PDF có sẵn""",,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
"COMMENT = ""Commented by automation team in case 21""",,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.000s,PASSED
auto5 = DataTest.getUserTest5(),,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
auto6 = DataTest.getUserTest6(),,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.002s,PASSED
"document = DataTest.createDocumentTest(auto5, auto6, null, ""dummy.pdf"", ""dummy.pdf"")",,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
loginScreen.login(auto5),,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.002s,ERROR
Start listener action : afterTest,,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.005s,ERROR
,,,,,,,
Test Cases/IPAPER APP/024 TRA VE CHI TIET_NHAP Y KIEN,,,,21-05-2025 14:43:18,21-05-2025 14:43:20,1.572s,ERROR
Start listener action : beforeTest,,,,21-05-2025 14:43:18,21-05-2025 14:43:20,1.521s,ERROR
"REQUEST_NAME = ""Trình ký PDF có sẵn""",,,,21-05-2025 14:43:20,21-05-2025 14:43:20,0.001s,PASSED
"COMMENT = ""Commented by automaton test in case 19""",,,,21-05-2025 14:43:20,21-05-2025 14:43:20,0.000s,PASSED
auto5 = DataTest.getUserTest5(),,,,21-05-2025 14:43:20,21-05-2025 14:43:20,0.001s,PASSED
auto6 = DataTest.getUserTest6(),,,,21-05-2025 14:43:20,21-05-2025 14:43:20,0.000s,PASSED
"document = DataTest.createDocumentTest(auto5, auto6, null, ""dummy.pdf"", ""dummy.pdf"")",,,,21-05-2025 14:43:20,21-05-2025 14:43:20,0.001s,PASSED
loginScreen.login(auto5),,,,21-05-2025 14:43:20,21-05-2025 14:43:20,0.002s,ERROR
Start listener action : afterTest,,,,21-05-2025 14:43:20,21-05-2025 14:43:20,0.003s,ERROR
,,,,,,,
Test Cases/IPAPER APP/025 TRA VE TAI MAIN FILE_NHAP Y KIEN,,,,21-05-2025 14:43:20,21-05-2025 14:43:20,0.057s,ERROR
Start listener action : beforeTest,,,,21-05-2025 14:43:20,21-05-2025 14:43:20,0.011s,ERROR
"REQUEST_NAME = ""Trình ký PDF có sẵn""",,,,21-05-2025 14:43:20,21-05-2025 14:43:20,0.000s,PASSED
"COMMENT = ""Commented by automaton test in case 25""",,,,21-05-2025 14:43:20,21-05-2025 14:43:20,0.001s,PASSED
auto5 = DataTest.getUserTest5(),,,,21-05-2025 14:43:20,21-05-2025 14:43:20,0.000s,PASSED
auto6 = DataTest.getUserTest6(),,,,21-05-2025 14:43:20,21-05-2025 14:43:20,0.001s,PASSED
"document = DataTest.createDocumentTest(auto5, auto6, null, ""dummy.pdf"", ""dummy.pdf"")",,,,21-05-2025 14:43:20,21-05-2025 14:43:20,0.001s,PASSED
loginScreen.login(auto5),,,,21-05-2025 14:43:20,21-05-2025 14:43:20,0.001s,ERROR
