Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
documentInformationScreen.checkCreateDate(),,,,23-05-2025 22:58:26,23-05-2025 22:58:26,0.092s,PASSED
documentInformationScreen.checkFinishDate(document),,,,23-05-2025 22:58:26,23-05-2025 22:58:26,0.116s,PASSED
documentInformationScreen.checkPriority(document),,,,23-05-2025 22:58:26,23-05-2025 22:58:27,0.139s,PASSED
documentInformationScreen.checkDescription(document),,,,23-05-2025 22:58:27,23-05-2025 22:58:27,0.138s,PASSED
documentInformationScreen.isAssignerDisplayed(),,,,23-05-2025 22:58:27,23-05-2025 22:58:30,3.147s,PASSED
documentInformationScreen.checkPresentFileName(document),,,,23-05-2025 22:58:30,23-05-2025 22:58:31,1.050s,PASSED
documentInformationScreen.checkAttachFileName(document),,,,23-05-2025 22:58:31,23-05-2025 22:58:33,1.753s,PASSED
"documentInformationScreen.checkComment(auto6, ASSIGNER_COMMENT)",,,,23-05-2025 22:58:33,23-05-2025 22:58:34,1.337s,PASSED
"documentInformationScreen.checkComment(auto5, USER_CREATE_COMMENT)",,,,23-05-2025 22:58:34,23-05-2025 22:58:36,1.788s,PASSED
documentInformationScreen.backToHome(),,,,23-05-2025 22:58:36,23-05-2025 22:58:40,4.600s,PASSED
inComingDocument.checkItemInDocument(),,,,23-05-2025 22:58:40,23-05-2025 22:58:40,0.000s,PASSED
Start listener action : afterTest,,,,23-05-2025 22:58:40,23-05-2025 22:58:41,0.500s,PASSED
,,,,,,,
Test Cases/IPAPER APP/005 TAO YEU CAU LAY Y KIEN_NHIEU NGUOI,,,,23-05-2025 23:05:12,23-05-2025 23:06:02,49.410s,ERROR
Start listener action : beforeTest,,,,23-05-2025 23:05:12,23-05-2025 23:05:45,32.759s,ERROR
"REQUEST_NAME = ""Trình ký PDF có sẵn""",,,,23-05-2025 23:05:45,23-05-2025 23:05:45,0.000s,PASSED
"USER_CREATE_COMMENT = ""Commented by user create document""",,,,23-05-2025 23:05:45,23-05-2025 23:05:45,0.000s,PASSED
"AUTO6_COMMENT = ""Commented by auto6""",,,,23-05-2025 23:05:45,23-05-2025 23:05:45,0.000s,PASSED
"AUTO7_COMMENT = ""Commented by auto7""",,,,23-05-2025 23:05:45,23-05-2025 23:05:45,0.000s,PASSED
"AUTO8_COMMENT = ""Commented by auto8""",,,,23-05-2025 23:05:45,23-05-2025 23:05:45,0.000s,PASSED
auto5 = DataTest.getUserTest5(),,,,23-05-2025 23:05:45,23-05-2025 23:05:45,0.000s,PASSED
auto6 = DataTest.getUserTest6(),,,,23-05-2025 23:05:45,23-05-2025 23:05:45,0.000s,PASSED
auto7 = DataTest.getUserTest7(),,,,23-05-2025 23:05:45,23-05-2025 23:05:45,0.001s,PASSED
auto8 = DataTest.getUserTest8(),,,,23-05-2025 23:05:45,23-05-2025 23:05:45,0.000s,PASSED
"document = DataTest.createDocumentTest(auto5, auto6, null, ""dummy.pdf"", ""dummy.pdf"")",,,,23-05-2025 23:05:45,23-05-2025 23:05:45,0.000s,PASSED
loginScreen.login(auto5),,,,23-05-2025 23:05:45,23-05-2025 23:05:48,3.132s,PASSED
homeScreen.openRequestList(),,,,23-05-2025 23:05:48,23-05-2025 23:05:58,9.490s,ERROR
Start listener action : afterTest,,,,23-05-2025 23:05:58,23-05-2025 23:06:02,4.003s,PASSED
,,,,,,,
Test Cases/IPAPER APP/006 TAO YEU CAU LAY Y KIEN_KHONG NHAP Y KIEN,,,,23-05-2025 23:06:02,23-05-2025 23:08:22,2m - 20.370s,PASSED
Start listener action : beforeTest,,,,23-05-2025 23:06:02,23-05-2025 23:06:05,3.052s,PASSED
"REQUEST_NAME = ""Trình ký PDF có sẵn""",,,,23-05-2025 23:06:05,23-05-2025 23:06:05,0.001s,PASSED
"USER_CREATE_COMMENT = ""Commented by user create document""",,,,23-05-2025 23:06:05,23-05-2025 23:06:05,0.000s,PASSED
"ASSIGNER_COMMENT = ""Comment by assigner""",,,,23-05-2025 23:06:05,23-05-2025 23:06:05,0.000s,PASSED
