Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
inComingDocument.viewInformationDocument(document),,,,18-05-2025 14:26:56,18-05-2025 14:27:01,5.643s,PASSED
documentInformationScreen.checkDocumentTitle(document),,,,18-05-2025 14:27:01,18-05-2025 14:27:02,0.364s,PASSED
documentInformationScreen.checkSender(document),,,,18-05-2025 14:27:02,18-05-2025 14:27:02,0.128s,PASSED
documentInformationScreen.checkStatus(document),,,,18-05-2025 14:27:02,18-05-2025 14:27:02,0.134s,PASSED
documentInformationScreen.checkCreateDate(),,,,18-05-2025 14:27:02,18-05-2025 14:27:02,0.133s,PASSED
documentInformationScreen.checkFinishDate(document),,,,18-05-2025 14:27:02,18-05-2025 14:27:02,0.131s,PASSED
documentInformationScreen.checkPriority(document),,,,18-05-2025 14:27:02,18-05-2025 14:27:02,0.129s,PASSED
documentInformationScreen.checkDescription(document),,,,18-05-2025 14:27:02,18-05-2025 14:27:03,0.156s,PASSED
documentInformationScreen.checkAssigner(document),,,,18-05-2025 14:27:03,18-05-2025 14:27:04,1.445s,PASSED
documentInformationScreen.checkPresentFileName(document),,,,18-05-2025 14:27:04,18-05-2025 14:27:05,1.018s,PASSED
documentInformationScreen.checkAttachFileName(document),,,,18-05-2025 14:27:05,18-05-2025 14:27:07,1.697s,PASSED
documentInformationScreen.backToHome(),,,,18-05-2025 14:27:07,18-05-2025 14:27:11,4.516s,PASSED
"inComingDocument.performAction(document, SEND_COMMENT)",,,,18-05-2025 14:27:11,18-05-2025 14:27:23,11.669s,ERROR
Start listener action : afterTest,,,,18-05-2025 14:27:23,18-05-2025 14:27:26,3.427s,PASSED
,,,,,,,
Test Cases/IPAPER APP/059 TẠO QUY TRINH_2 BUOC,,,,18-05-2025 14:27:26,18-05-2025 14:30:01,2m - 34.549s,PASSED
Start listener action : beforeTest,,,,18-05-2025 14:27:26,18-05-2025 14:27:29,2.590s,PASSED
"REQUEST_NAME = ""Trình ký PDF có sẵn""",,,,18-05-2025 14:27:29,18-05-2025 14:27:29,0.001s,PASSED
TO_DAY = SimpleDateFormat(dd/MM/yyyy).format(new java.util.Date()),,,,18-05-2025 14:27:29,18-05-2025 14:27:29,0.002s,PASSED
